name,base,quote,price,price_usd,volume,volume_usd,time
Binance,BTC,USDT,17180.84,17180.84,205931.28506,3540915305.3646,1670920336
Binance,BTC,BUSD,17190.32,17190.32,138497.82017,2380821848.0248,1670920336
BingX,BTC,USDT,17189.0,17189.0,77735.7779,1336200286.3231,1670920211
CITEX,ETH,BTC,0.073588,1263.7274598334923,484658.523,612476284.15744,1670920208
Indoex,BTC,USD,17136.703737917578,17136.703737917578,32580.159548611,558316541.91863,1670920334
Tidex,BTC,USDT,17184.8929775,17184.8929775,19544.365836,335867835.20477,1670920331
Indoex,BTC,EUR,16246.05502835226,17162.353058125584,19323.937536429,331644238.47336,1670920334
Gate,BTC,USDT,17181.3,17181.3,15871.304706031,272689647.54573,1670920223
Indoex,ETH,BTC,0.07352336349388601,1261.3177856625375,192148.24709538,242360001.54528,1670920334
Indoex,BTC,USDT,17161.660287767656,17161.660287767656,13714.777091264,235368345.36273,1670920334
Whitebit,BTC,USDT,17180.08,17180.08,12789.49032,219724466.85683,1670920332
FMFW.io,BTC,USDT,17183.79,17183.79,11709.53905,201214260.032,1670920214
HitBTC,BTC,USDT,17178.84,17178.84,11707.65524,201123936.14312,1670920335
Bitmart,BTC,USDT,17161.63,17161.63,10283.13492,176475356.73712,1670920097
Big.One,BTC,USDT,17174.59,17174.59,10212.959335,175403389.2653,1670920331
MEXC Global,BTC,USDT,17181.45,17181.45,9304.74099,159868942.08264,1670920220
Coinsbit,BTC,BUSD,17181.63118713,17181.63118713,8251.33785662,141771443.85285,1670920331
Coinsbit,BTC,USDT,17172.72298417,17172.72298417,7916.19687897,135942656.0907,1670920331
P2PB2B,BTC,BUSD,17180.77,17180.77,7075.275032,121558673.01153,1670920213
Indoex,BTC,USDC,17167.635041431175,17167.635041431175,5786.0178457963,99332242.719839,1670920334
BTSE,BTC,USD,17178.8,17178.8,5080.3696901157,87274654.83256,1670920210
P2PB2B,BTC,USD,17172.0,17172.0,4994.04233,85757694.89076,1670920213
ExtStock,BCH,BTC,0.02965297,509.2307503209593,158350.00646901,80636692.607543,1670920330
ExtStock,LTC,BTC,0.0057114800000000005,98.08330315119035,818926.9935853,80323064.57052,1670920330
ZB.com,BTC,USDT,17115.49,17115.49,4418.0616,75617289.134184,1670920285
Indoex,ETC,BTC,0.0010579815557900001,18.150025921116665,3931843.7820538,71363066.562058,1670920334
OKEX,BTC,USDT,17183.6,17183.6,3885.57230361,66768120.236313,1670920333
Bitrue,BTC,USDT,17179.28,17179.28,3702.9231,63613552.753368,1670920335
BitForex,ETH,BTC,0.07367364,1265.8545885888,48825.5339,61806026.127613,1670920331
Bybit,BTC,USDT,17180.03,17180.03,3540.205827,60820842.314035,1670920330
YoBit,ETH,BTC,0.07387947,1325.02829445,45729.32174039,60592645.192024,1670919914
Bitmart,BTC,USDC,17170.72,17170.72,3442.193188,59104935.417055,1670920097
Kucoin,BTC,USDT,17181.3,17181.3,3273.58571749,56244458.287911,1670920336
Dcoin,BTC,USDT,17179.94,17179.94,3147.0,54065271.18,1670920211
Lbank,ETH,BTC,0.07383379,1267.4943361994,40116.0202,50846828.394361,1670920335
Huobi,BTC,USDT,17167.68,17167.68,2928.7209811744,50279344.614088,1670920268
DigiFinex,BTC,USDT,17180.71,17180.71,2868.55043742,49283733.185686,1670920214
Binance,BNB,BTC,0.015512999999999999,266.542426875,184085.116,49066493.570206,1670920336
Binance,BTC,EUR,16280.83,17199.089382110902,2850.97211,49034124.145795,1670920336
BitForex,BTC,USDT,17181.92,17181.92,2463.8996,42334525.815232,1670920331
Kraken,BTC,USD,17179.9,17179.9,2296.73764827,39457723.123514,1670920236
Indoex,TRX,BTC,3.0820830349879997e-06,0.052874160867822005,727967521.37346,38490671.83165,1670920334
Binance,ETH,BTC,0.073728,1266.78528,28589.5286,36216793.992619,1670920336
Bitfinex,BTC,USD,17202.0,17202.0,2044.78558191,35174401.580016,1670920335
Whitebit,ETH,BTC,0.07373,1267.06663925,24361.93,30868188.770744,1670920332
Bitstamp,BTC,USD,17191.0,17191.0,1435.96822672,24685729.785544,1670920210
Indoex,BCHSV,BTC,0.002711982583163,46.524964365035665,495887.25508984,23071136.87213,1670920334
Lbank,BTC,USDT,17166.86,17166.86,1342.2003,23041364.642058,1670920335
Resfinex,BTC,USDT,17179.47,17179.47,1340.7947952781,23034143.961636,1670920324
LATOKEN,BTC,USDT,17161.37,17161.37,1297.7657620575,22271438.416001,1670920215
